id,index,model,peel,OSG_start,OSG_end,OSG_runtime
01-BigSkate_2019-0,1,BigSkate_2019,0,2024-11-05T00:38:26Z,2024-11-05T00:40:18Z,1.86666666666667
02-Empirical_Wtatage_Age_Selex-0,2,Empirical_Wtatage_Age_Selex,0,2024-11-05T00:38:42Z,2024-11-05T00:39:37Z,0.916666666666667
03-growth_timevary-0,3,growth_timevary,0,2024-11-05T00:38:25Z,2024-11-05T00:38:42Z,0.283333333333333
04-Hake_2018-0,4,Hake_2018,0,2024-11-05T00:38:27Z,2024-11-05T00:38:52Z,0.416666666666667
05-Hake_2019_semi_parametric_selex-0,5,Hake_2019_semi_parametric_selex,0,2024-11-05T00:38:44Z,2024-11-05T00:39:31Z,0.783333333333333
06-platoons-0,6,platoons,0,2024-11-05T00:38:30Z,2024-11-05T00:39:48Z,1.3
07-Sablefish2015-0,7,Sablefish2015,0,2024-11-05T00:38:28Z,2024-11-05T00:49:44Z,11.2666666666667
08-Simple-0,8,Simple,0,2024-11-05T00:38:21Z,2024-11-05T00:38:54Z,0.55
09-Simple_Lorenzen_tv_trend-0,9,Simple_Lorenzen_tv_trend,0,2024-11-05T00:38:28Z,2024-11-05T00:39:34Z,1.1
10-Simple_NoCPUE-0,10,Simple_NoCPUE,0,2024-11-05T00:38:45Z,2024-11-05T00:39:41Z,0.933333333333333
11-Simple_with_Discard-0,11,Simple_with_Discard,0,2024-11-05T00:38:45Z,2024-11-05T00:40:11Z,1.43333333333333
12-Simple_with_DM_sizefreq-0,12,Simple_with_DM_sizefreq,0,2024-11-05T00:38:30Z,2024-11-05T00:41:16Z,2.76666666666667
13-Spinydogfish_2011-0,13,Spinydogfish_2011,0,2024-11-05T00:38:33Z,2024-11-05T00:41:58Z,3.41666666666667
14-tagging_mirrored_sel-0,14,tagging_mirrored_sel,0,2024-11-05T00:38:28Z,2024-11-05T00:39:26Z,0.966666666666667
15-three_area_nomove-0,15,three_area_nomove,0,2024-11-05T00:38:36Z,2024-11-05T00:41:59Z,3.38333333333333
16-two_morph_seas_areas-0,16,two_morph_seas_areas,0,2024-11-05T00:38:33Z,2024-11-05T00:43:23Z,4.83333333333333
17-vermillion_snapper-0,17,vermillion_snapper,0,2024-11-05T00:38:20Z,2024-11-05T00:39:58Z,1.63333333333333
18-vermillion_snapper_F4-0,18,vermillion_snapper_F4,0,2024-11-05T00:45:13Z,2024-11-05T00:46:09Z,0.933333333333333
19-BigSkate_2019-1,19,BigSkate_2019,1,2024-11-05T00:38:24Z,2024-11-05T00:41:13Z,2.81666666666667
