id,index,model,peel,hera_start,hera_end,hera_runtime
01-BigSkate_2019-0,1,BigSkate_2019,0,2024-10-31T00:48:10Z,2024-10-31T00:50:24Z,2.23333333333333
02-Empirical_Wtatage_Age_Selex-0,2,Empirical_Wtatage_Age_Selex,0,2024-10-31T00:48:12Z,2024-10-31T00:48:53Z,0.683333333333333
03-growth_timevary-0,3,growth_timevary,0,2024-10-31T00:48:11Z,2024-10-31T00:48:37Z,0.433333333333333
04-Hake_2018-0,4,Hake_2018,0,2024-10-31T00:48:10Z,2024-10-31T00:48:44Z,0.566666666666667
05-Hake_2019_semi_parametric_selex-0,5,Hake_2019_semi_parametric_selex,0,2024-10-31T00:48:10Z,2024-10-31T00:48:45Z,0.583333333333333
06-platoons-0,6,platoons,0,2024-10-31T00:48:10Z,2024-10-31T00:49:55Z,1.75
07-Sablefish2015-0,7,Sablefish2015,0,2024-10-31T00:48:10Z,2024-10-31T01:01:30Z,13.3333333333333
08-Simple-0,8,Simple,0,2024-10-31T00:48:10Z,2024-10-31T00:48:58Z,0.8
09-Simple_Lorenzen_tv_trend-0,9,Simple_Lorenzen_tv_trend,0,2024-10-31T00:48:12Z,2024-10-31T00:49:35Z,1.38333333333333
10-Simple_NoCPUE-0,10,Simple_NoCPUE,0,2024-10-31T00:48:11Z,2024-10-31T00:48:55Z,0.733333333333333
11-Simple_with_Discard-0,11,Simple_with_Discard,0,2024-10-31T00:48:12Z,2024-10-31T00:49:11Z,0.983333333333333
12-Simple_with_DM_sizefreq-0,12,Simple_with_DM_sizefreq,0,2024-10-31T00:48:10Z,2024-10-31T00:51:26Z,3.26666666666667
13-Spinydogfish_2011-0,13,Spinydogfish_2011,0,2024-10-31T00:48:10Z,2024-10-31T00:52:20Z,4.16666666666667
14-tagging_mirrored_sel-0,14,tagging_mirrored_sel,0,2024-10-31T00:48:10Z,2024-10-31T00:49:28Z,1.3
15-three_area_nomove-0,15,three_area_nomove,0,2024-10-31T00:48:10Z,2024-10-31T00:49:43Z,1.55
16-two_morph_seas_areas-0,16,two_morph_seas_areas,0,2024-10-31T00:48:10Z,2024-10-31T00:51:00Z,2.83333333333333
17-vermillion_snapper-0,17,vermillion_snapper,0,2024-10-31T00:48:10Z,2024-10-31T00:49:35Z,1.41666666666667
18-vermillion_snapper_F4-0,18,vermillion_snapper_F4,0,2024-10-31T00:48:11Z,2024-10-31T00:49:30Z,1.31666666666667
19-BigSkate_2019-1,19,BigSkate_2019,1,2024-10-31T00:48:11Z,2024-10-31T00:50:31Z,2.33333333333333
